"";"ID.SENTENÇA";"SENTENÇA";"ARG1";"REL";"ARG2";"COERÊNCIA";"subordinada";"sistemas"
"1";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"os visitantes de os mais diversos estados brasileiros ";" têm";"";"";"a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ";"mquni"
"2";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"os visitantes de os mais diversos estados brasileiros ";" têm";"a o visitar os cânions de o Rio São Francisco ";"";"a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ";"mquni"
"3";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"quem ";" condiz";"";"";"a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ";"mquni"
"4";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"quem ";" condiz";"com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ";"";"a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ";"mquni"
"5";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"Tal percepção ";" é";"visível ";"";"quem  /   transita /  por a principal via de a cidade de Canindé de São Francisco ";"stanford"
"6";15;"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"Tal percepção ";" é";"visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ";"";"a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ";"mquni"
"7";20;"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ";"A única esperança para os sobreviventes ";" é Kit Latura";"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ";"";"o ar  /   se esgote /  ou que o próprio túnel desabe ";"stanford, orange, mquni"
"8";20;"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ";"A única esperança para os sobreviventes ";" é Kit Latura";"antes que ";"";"o ar  /   se esgote /  ou que o próprio túnel desabe ";"stanford, orange"
"9";20;"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ";"A única esperança para os sobreviventes ";" é Kit Latura";"um ex - bombeiro que precisará entrar e resgatar as vítimas antes que ";"";"o ar  /   se esgote /  ou que o próprio túnel desabe ";"mquni"
"10";20;"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ";"um ex - bombeiro ";" precisará";"entrar en o túnel e resgatar as vítimas antes que ";"";"o ar  /   se esgote /  ou que o próprio túnel desabe ";"stanford, orange, mquni"
"11";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  en as torcidas ";"lys"
"12";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios ";"orange, lys, dptoie"
"13";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas ";"lys"
"14";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos ";"orange"
"15";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc ";"orange"
"16";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , juízes etc ";"orange"
"17";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de as quatro linhas ";"lys"
"18";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de as quatro linhas , juízes etc ";"lys"
"19";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de juízes etc ";"lys"
"20";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas etc ";"orange"
"21";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas juízes ";"orange"
"22";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas técnicos ";"orange"
"23";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  fora en as torcidas ";"orange"
"24";61;"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ";"Importante ";" lembrar";"que ";"";"a violência  /   hoje , acontece /  também , dentro de as quatro linhas , juízes etc ";"lys"
"25";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil ";"stanford, orange, mquni, lys, dptoie"
"26";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ";"mquni"
"27";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ";"orange"
"28";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ";"stanford, mquni, mquni, dptoie"
