;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;COERÊNCIA;subordinada
1;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;os visitantes de os mais diversos estados brasileiros ; têm;;;a limpeza e organização  /   Passa /  por muitas praias de a Costa de a Prata 
2;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;os visitantes de os mais diversos estados brasileiros ; têm;a o visitar os cânions de o Rio São Francisco ;;a limpeza e organização  /   é /  Everywhere 
3;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;quem ; condiz;;;a limpeza e organização  /   é Kit Latura /  ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel 
4;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;quem ; condiz;com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ;;a limpeza e organização  /   Passa /  entre elas 
5;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;Tal percepção ; é;visível ;;quem  /   transita /  por a principal via de a cidade de Canindé de São Francisco 
6;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;Tal percepção ; é;visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ;;a limpeza e organização  /   foi terceiro single /  de o álbum Everywhere 
7;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ;;o ar  /   representa /  as localidades em um raio de 8 km a o redor de Muniz 
8;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ;;o ar  /   se esgote /  ou que o próprio túnel desabe 
9;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;antes que ;;o ar  /   era /  de 3 528 habitantes em 2007 e em 2007 de 3 570 habitantes 
10;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;antes que ;;o ar  /   se esgote /  ou que o próprio túnel desabe 
11;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;um ex - bombeiro que precisará entrar e resgatar as vítimas antes que ;;o ar  /   foi /  Em 2007 
12;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas antes que ;;o ar  /   era /  de 3 528 habitantes e em 2007 de 3 570 habitantes 
13;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas antes que ;;o ar  /   foram /  contra 10 de o rival 
14;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas antes que ;;o ar  /   se esgote /  ou que o próprio túnel desabe 
15;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   afirmou /  ontem que 
16;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   afirmou /  que 
17;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   declararam /  a a Receita en o exercício de 1992 
18;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   hoje , acontece /  fora de os estádios 
19;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc 
20;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   hoje , acontece /  fora en as torcidas e , também , dentro de as quatro linhas etc 
21;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   hoje , acontece /  fora en as torcidas e , também , dentro de as quatro linhas técnicos 
22;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   morreu /  em um acidente de carro 
23;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;;a violência  /   morreu /  en o dia 19 de abril em um acidente de carro 
